Date_Number,Begin_Time(UTC),Begin_Year,Begin_Month,Begin_Day,Begin_Time,Flare_Date_Number,Flare_Max(UTC),Flare_Month,Flare_Day,Flare_Time,Max_Date_Number,Max_Time(UTC),Max_Year,Max_Month,Max_Day,Max_Time,Flare_Level,>10MeV_Max(pfu)
19890816,1989 08/16 0125,1989,08,16,0125,198908160123,2N 08/16 0123,08,16,0123,198908161425,1989 08/16 1425,1989,08,16,1425,X20,1430
19890817,1989 08/17 0615,1989,08,17,0615,198908170121,SF 08/17 0121,08,17,0121,198908170945,1989 08/17 0945,1989,08,17,0945,X2,986
19890819,1989 08/19 1725,1989,08,19,1725,198908192008,N/A 08/19 2008,08,19,2008,198908200155,1989 08/20 0155,1989,08,20,0155,C8,258
19890904,1989 09/04 0240,1989,09,04,0240,198909031431,1B 09/03 1431,09,03,1431,198909040920,1989 09/04 0920,1989,09,04,0920,X1,16
19890912,1989 09/12 2210,1989,09,12,2210,198909120814,N/A 09/12 0814,09,12,0814,198909130825,1989 09/13 0825,1989,09,13,0825,M5,32
19890929,1989 09/29 1200,1989,09,29,1200,198909291132,N/A 09/29 1132,09,29,1132,198909300210,1989 09/30 0210,1989,09,30,0210,X9,2960
19891006,1989 10/06 0500,1989,10,06,0500,,,,,,198910060825,1989 10/06 0825,1989,10,06,0825,NA,22
19891019,1989 10/19 1310,1989,10,19,1310,198910191306,4B 10/19 1306,10,19,1306,198910201600,1989 10/20 1600,1989,10,20,1600,X13,42200
19891022,1989 10/22 1755,1989,10,22,1755,198910221804,2B 10/22 1804,10,22,1804,198910230715,1989 10/23 0715,1989,10,23,0715,X2,5330
19891024,1989 10/24 1825,1989,10,24,1825,198910241829,3B 10/24 1829,10,24,1829,198910250210,1989 10/25 0210,1989,10,25,0210,X5,2530
19891029,1989 10/29 0620,1989,10,29,0620,198910290450,N/A 10/29 0450,10,29,0450,198910291005,1989 10/29 1005,1989,10,29,1005,M4,24
19891109,1989 11/09 0345,1989,11,09,0345,198911081912,2B 11/08 1912,11,08,1912,198911090445,1989 11/09 0445,1989,11,09,0445,M9,15
