Begin_Time(UTC),Max_Time(UTC),>10MeV_Max(pfu),Region,Location,Flare_Max(UTC),Flare_Level,Type_II_Radio_Emission,Type_IV,Linear_Speed,Imagery/Misc
1989 08/15 0620,1989 08/15 1725,351,5629,S18W73,SF 06/15 0313,X1,No,Yes,NA,NA
1989 08/16 0125,1989 08/16 1425,"1,430",5629,S18W84,2N 08/16 0123,X20,Yes,Yes,NA,NA
1989 08/17 0615,1989 08/17 0945,986,5629,S19W88,SF 08/17 0121,X2,No,No,NA,NA
1989 08/19 1725,1989 08/20 0155,258,5629,S16W100,N/A 08/19 2008,C8,Yes,No,NA,NA
1989 09/04 0240,1989 09/04 0920,16,5603,S18E16,1B 09/03 1431,X1,No,No,NA,NA
1989 09/12 2210,1989 09/13 0825,32,5669,S19W90,N/A 09/12 0814,M5,Yes,No,NA,NA
1989 09/29 1200,1989 09/30 0210,"2,960",5698,S27W90,N/A 09/29 1132,X9,No,Yes,NA,NA
1989 10/06 0500,1989 10/06 0825,22,NA,NA,,NA,NA,NA,NA,NA
1989 10/19 1310,1989 10/20 1600,"42,200",5747,S27E10,4B 10/19 1306,X13,Yes,Yes,NA,NA
1989 10/22 1755,1989 10/23 0715,"5,330",5747,S27W31,2B 10/22 1804,X2,Yes,Yes,NA,NA
1989 10/24 1825,1989 10/25 0210,"2,530",5747,S33W61,3B 10/24 1829,X5,Yes,Yes,NA,NA
1989 10/29 0620,1989 10/29 1005,24,5747,S27W90,N/A 10/29 0450,M4,Yes,Yes,NA,NA
1989 11/09 0345,1989 11/09 0445,15,5769,S20W57,2B 11/08 1912,M9,No,No,NA,NA
1989 11/15 0755,1989 11/15 0905,38,5786,N11W26,3B 11/15 0658,X3,Yes,Yes,NA,NA
1989 11/27 2140,1989 11/28 1105,165,5800,N25W03,2B 11/26 1941,M4,No,Yes,NA,NA
1989 11/30 1410,1989 12/01 1330,"3,590",5800,N24W52,3B 11/30 1230,X2,No,No,NA,NA
1990 03/19 0705,1990 09/19 2315,946,5969,N31W43,2B 03/19 0700,X1,Yes,Yes,NA,NA
1990 03/29 0920,1990 03/29 1005,15,5988,S04W37,2N 03/28 0750,M4,No,Yes,NA,NA
1990 04/07 2220,1990 04/08 1355,19,6007,N23E82,1N 04/03 1725,X1,Yes,No,NA,NA
1990 04/11 2120,1990 04/11 2120,13,6007,N22W04,1N 04/10 1214,M1,No,Yes,NA,NA
1990 04/17 0400,1990 04/17 0700,12,6022,N32E57,2B 04/15 0300,X1,Yes,Yes,NA,NA
1990 04/28 1005,1990 04/28 1735,149,6038,N18W38,SF 04/28 0026,C2,Yes,No,NA,NA
1990 05/21 2355,1990 05/22 0750,409,6063,N35W36,2B 05/21 2218,X5,No,Yes,NA,NA
1990 05/24 2125,1990 05/25 0115,177,6063,N33W78,1B 05/24 2050,X9,Yes,Yes,NA,NA
1990 05/26 2110,1990 05/27 0120,88,6063,N33W90,N/A 05/26 2057,X1,No,Yes,NA,NA
1990 05/28 0645,1990 05/29 0100,45,6063,N33W90,N/A 05/28 0433,C1,No,Yes,NA,NA
1990 06/12 1140,1990 06/12 1700,79,6089,N10W33,2B 06/12 0540,M6,No,Yes,NA,NA
1990 07/26 1100,1990 07/26 2315,20,6174,S15E55,2N 07/25 2333,M2,No,Yes,NA,NA
1990 08/01 0020,1990 08/01 2045,227,6180,N20E45,2B 07/30 0736,M4,Yes,Yes,NA,NA
1991 01/31 1130,1991 01/31 1620,242,6469,S17W35,2B 01/31 0229,X1,Yes,Yes,NA,NA
1991 02/25 1200,1991 02/25 1305,12,6497,S16W80,2N 02/25 0818,X1,Yes,Yes,NA,NA
1991 03/23 0820,1991 03/24 0350,"43,500",6555,S26E28,3B 03/22 2246,X9,Yes,No,NA,NA
1991 03/29 2120,1991 03/30 0330,20,NA,NA,,NA,NA,NA,NA,NA
1991 04/03 0815,1991 04/04 1000,52,6562,N14W00,3B 04/02 2326,M6,No,Yes,NA,NA
1991 05/13 0300,1991 05/13 0905,358,6615,S10W90,N/A 05/13 0142,M8,Yes,Yes,NA,NA
1991 05/31 1150,1991 06/01 0500,22,6654,N05E38,2B 05/29 2344,X1,No,Yes,NA,NA
1991 06/04 0820,1991 06/07 0400,224,6659,N30E70,3B 06/04 0352,X12,Yes,Yes,NA,NA
1991 06/11 0250,1991 06/11 1420,"3,000",6659,N31W17,3B 06/11 0209,X12,Yes,Yes,NA,NA
1991 06/15 0835,1991 06/15 1955,"1,400",6659,N33W69,3B 06/15 0821,X12,NA,NA,NA,NA
