Date_Number,Begin_Date_Number,Begin_Time(UTC),Begin_Year,Begin_Month,Begin_Day,Begin_Time,Flare_Date_Number,Flare_Max(UTC),Flare_Month,Flare_Day,Flare_Time,Max_Date_Number,Max_Time(UTC),Max_Year,Max_Month,Max_Day,Max_Time,Flare_Level,>10MeV_Max(pfu),0000,0300,0600,0900,1200,1500,1800,2100,Kp_Sum,Kp_Class,Flare_Class,Proton_class
19821227,198212270600,1982 12/27 0600,1982,12,27,600,198212250752.0,1B 12/25 0752,12.0,25.0,752.0,198212271345.0,1982 12/27 1345,1982,12,27,1345.0,X2,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19830203,198302031200,1983 02/03 1200,1983,2,3,1200,198302030619.0,3B 02/03 0619,2.0,3.0,619.0,198302041620.0,1983 02/04 1620,1983,2,4,1620.0,X4,340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19830615,198306150435,1983 06/15 0435,1983,6,15,435,,A 06/14,,,,198306151800.0,1983 06/15 1800,1983,6,15,1800.0,N,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19840216,198402160915,1984 02/16 0915,1984,2,16,915,,,,,,198402161005.0,1984 02/16 1005,1984,2,16,1005.0,,660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,2.0
19840219,198402191310,1984 02/19 1310,1984,2,19,1310,198402172301.0,2B 02/17 2301,2.0,17.0,2301.0,198402211415.0,1984 02/21 1415,1984,2,21,1415.0,X2,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19840313,198403131440,1984 03/13 1440,1984,3,13,1440,,,,,,198403131450.0,1984 03/13 1450,1984,3,13,1450.0,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
19840314,198403140405,1984 03/14 0405,1984,3,14,405,198403140334.0,1B 03/14 0334,3.0,14.0,334.0,198403140505.0,1984 03/14 0505,1984,3,14,505.0,M2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0
19840425,198404251330,1984 04/25 1330,1984,4,25,1330,198404250025.0,3B 04/25 0025,4.0,25.0,25.0,198404261420.0,1984 04/26 1420,1984,4,26,1420.0,X13,2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,3.0
19840524,198405241045,1984 05/24 1045,1984,5,24,1045,198405221503.0,2B 05/22 1503,5.0,22.0,1503.0,198405241140.0,1984 05/24 1140,1984,5,24,1140.0,M6,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
19840531,198405311315,1984 05/31 1315,1984,5,31,1315,198405311142.0,?? 05/31 1142,5.0,31.0,1142.0,198405311415.0,1984 05/31 1415,1984,5,31,1415.0,M1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19850122,198501220415,1985 01/22 0415,1985,1,22,415,198501212350.0,2B 01/21 2350,1.0,21.0,2350.0,198501220550.0,1985 01/22 0550,1985,1,22,550.0,X4,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19850425,198504251430,1985 04/25 1430,1985,4,25,1430,198504240935.0,3B 04/24 0935,4.0,24.0,935.0,198504260600.0,1985 04/26 0600,1985,4,26,600.0,X1,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19850709,198507090235,1985 07/09 0235,1985,7,9,235,198507090204.0,1B 07/09 0204,7.0,9.0,204.0,198507090325.0,1985 07/09 0325,1985,7,9,325.0,M2,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0
19860206,198602060825,1986 02/06 0825,1986,2,6,825,198602060625.0,3B 02/06 0625,2.0,6.0,625.0,198602071730.0,1986 02/07 1730,1986,2,7,1730.0,X1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19860207,198602071310,1986 02/07 1310,1986,2,7,1310,198602070913.0,2B 02/07 0913,2.0,7.0,913.0,198602071750.0,1986 02/07 1750,1986,2,7,1750.0,M5,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
19860214,198602141455,1986 02/14 1455,1986,2,14,1455,198602140929.0,1N 02/14 0929,2.0,14.0,929.0,198602142110.0,1986 02/14 2110,1986,2,14,2110.0,M6,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0
19860306,198603061835,1986 03/06 1835,1986,3,6,1835,198603061703.0,1F 03/06 1703,3.0,6.0,1703.0,198603061930.0,1986 03/06 1930,1986,3,6,1930.0,C4,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
19860504,198605041835,1986 05/04 1835,1986,5,4,1835,,,,,,198605041930.0,1986 05/04 1930,1986,5,4,1930.0,,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19871108,198711080145,1987 11/08 0145,1987,11,8,145,198711072013.0,N/A 11/07 2013,11.0,7.0,2013.0,198711080945.0,1987 11/08 0945,1987,11,8,945.0,M1,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19880103,198801030100,1988 01/03 0100,1988,1,3,100,198801022144.0,3B 01/02 2144,1.0,2.0,2144.0,198801030730.0,1988 01/03 0730,1988,1,3,730.0,X1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19880325,198803252250,1988 03/25 2250,1988,3,25,2250,198803252153.0,N/A 03/25 2153,3.0,25.0,2153.0,198803252310.0,1988 03/25 2310,1988,3,25,2310.0,C4,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
19880630,198806301125,1988 06/30 1125,1988,6,30,1125,198806300905.0,2B 06/30 0905,6.0,30.0,905.0,198806301135.0,1988 06/30 1135,1988,6,30,1135.0,M9,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
19880826,198808260030,1988 08/26 0030,1988,8,26,30,198808231735.0,SF 08/23 1735,8.0,23.0,1735.0,198808260045.0,1988 08/26 0045,1988,8,26,45.0,M2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19881012,198810120920,1988 10/12 0920,1988,10,12,920,,,,,,198810120930.0,1988 10/12 0930,1988,10,12,930.0,,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19881108,198811082225,1988 11/08 2225,1988,11,8,2225,,,,,,198811090810.0,1988 11/09 0810,1988,11,9,810.0,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19881114,198811140130,1988 11/14 0130,1988,11,14,130,,,,,,198811140310.0,1988 11/14 0310,1988,11,14,310.0,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19881217,198812172220,1988 12/17 2220,1988,12,17,2220,198812160845.0,1B 12/16 0845,12.0,16.0,845.0,198812180150.0,1988 12/18 0150,1988,12,18,150.0,X4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19890104,198901042305,1989 01/04 2305,1989,1,4,2305,,,,,,198901050130.0,1989 01/05 0130,1989,1,5,130.0,,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19890308,198903081755,1989 03/08 1755,1989,3,8,1755,198903061406.0,3B 03/06 1406,3.0,6.0,1406.0,198903100000.0,1989 03/10 0000,1989,3,10,0.0,X15,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,2.0
19890310,198903102205,1989 03/10 2205,1989,3,10,2205,198903171744.0,3B 03/17 1744,3.0,17.0,1744.0,198903130645.0,1989 03/13 0645,1989,3,13,645.0,X4,1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19890317,198903171900,1989 03/17 1900,1989,3,17,1900,198903171743.0,2B 03/17 1743,3.0,17.0,1743.0,198903180920.0,1989 03/18 0920,1989,3,18,920.0,X6,1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19890323,198903232055,1989 03/23 2055,1989,3,23,2055,198903231958.0,3B 03/23 1958,3.0,23.0,1958.0,198903232220.0,1989 03/23 2220,1989,3,23,2220.0,X1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19890411,198904111555,1989 04/11 1555,1989,4,11,1555,198904102323.0,SF 04/10 2323,4.0,10.0,2323.0,198904120005.0,1989 04/12 0005,1989,4,12,5.0,M1,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0
19890505,198905050905,1989 05/05 0905,1989,5,5,905,,,,,,198905051000.0,1989 05/05 1000,1989,5,5,1000.0,,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19890506,198905060615,1989 05/06 0615,1989,5,6,615,198905050736.0,3B 05/05 0736,5.0,5.0,736.0,198905061055.0,1989 05/06 1055,1989,5,6,1055.0,X2,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19890523,198905231135,1989 05/23 1135,1989,5,23,1135,,,,,,198905231358.0,1989 05/23 1358,1989,5,23,1358.0,,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19890524,198905240730,1989 05/24 0730,1989,5,24,730,,,,,,198905240905.0,1989 05/24 0905,1989,5,24,905.0,,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19890618,198906181650,1989 06/18 1650,1989,6,18,1650,,,,,,198906181910.0,1989 06/18 1910,1989,6,18,1910.0,,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19890630,198906300655,1989 06/30 0655,1989,6,30,655,,,,,,198906300710.0,1989 06/30 0710,1989,6,30,710.0,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19890701,198907010655,1989 07/01 0655,1989,7,1,655,,,,,,198907010720.0,1989 07/01 0720,1989,7,1,720.0,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19890725,198907250935,1989 07/25 0935,1989,7,25,935,198907250843.0,2N 07/25 0843,7.0,25.0,843.0,198907251220.0,1989 07/25 1220,1989,7,25,1220.0,X2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19890812,198908121620,1989 08/12 1620,1989,8,12,1620,198908121426.0,2B 08/12 1426,8.0,12.0,1426.0,198908130705.0,1989 08/13 0705,1989,8,13,705.0,X2,6550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19890815,198908150620,1989 08/15 0620,1989,8,15,620,198906150313.0,SF 06/15 0313,6.0,15.0,313.0,198908151725.0,1989 08/15 1725,1989,8,15,1725.0,X1,351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19890816,198908160125,1989 08/16 0125,1989,8,16,125,198908160123.0,2N 08/16 0123,8.0,16.0,123.0,198908161425.0,1989 08/16 1425,1989,8,16,1425.0,X20,1430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.0,3.0
19890817,198908170615,1989 08/17 0615,1989,8,17,615,198908170121.0,SF 08/17 0121,8.0,17.0,121.0,198908170945.0,1989 08/17 0945,1989,8,17,945.0,X2,986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0
19890819,198908191725,1989 08/19 1725,1989,8,19,1725,198908192008.0,N/A 08/19 2008,8.0,19.0,2008.0,198908200155.0,1989 08/20 0155,1989,8,20,155.0,C8,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0
19890904,198909040240,1989 09/04 0240,1989,9,4,240,198909031431.0,1B 09/03 1431,9.0,3.0,1431.0,198909040920.0,1989 09/04 0920,1989,9,4,920.0,X1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19890912,198909122210,1989 09/12 2210,1989,9,12,2210,198909120814.0,N/A 09/12 0814,9.0,12.0,814.0,198909130825.0,1989 09/13 0825,1989,9,13,825.0,M5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
19890929,198909291200,1989 09/29 1200,1989,9,29,1200,198909291132.0,N/A 09/29 1132,9.0,29.0,1132.0,198909300210.0,1989 09/30 0210,1989,9,30,210.0,X9,2960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19891006,198910060500,1989 10/06 0500,1989,10,6,500,,,,,,198910060825.0,1989 10/06 0825,1989,10,6,825.0,,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.0
19891019,198910191310,1989 10/19 1310,1989,10,19,1310,198910191306.0,4B 10/19 1306,10.0,19.0,1306.0,198910201600.0,1989 10/20 1600,1989,10,20,1600.0,X13,42200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,4.0
19891022,198910221755,1989 10/22 1755,1989,10,22,1755,198910221804.0,2B 10/22 1804,10.0,22.0,1804.0,198910230715.0,1989 10/23 0715,1989,10,23,715.0,X2,5330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19891024,198910241825,1989 10/24 1825,1989,10,24,1825,198910241829.0,3B 10/24 1829,10.0,24.0,1829.0,198910250210.0,1989 10/25 0210,1989,10,25,210.0,X5,2530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0
19891029,198910290620,1989 10/29 0620,1989,10,29,620,198910290450.0,N/A 10/29 0450,10.0,29.0,450.0,198910291005.0,1989 10/29 1005,1989,10,29,1005.0,M4,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0
19891109,198911090345,1989 11/09 0345,1989,11,9,345,198911081912.0,2B 11/08 1912,11.0,8.0,1912.0,198911090445.0,1989 11/09 0445,1989,11,9,445.0,M9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0
19891115,198911150755,1989 11/15 0755,1989,11,15,755,198911150658.0,3B 11/15 0658,11.0,15.0,658.0,198911150905.0,1989 11/15 0905,1989,11,15,905.0,X3,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0
19891127,198911272140,1989 11/27 2140,1989,11,27,2140,198911261941.0,2B 11/26 1941,11.0,26.0,1941.0,198911281105.0,1989 11/28 1105,1989,11,28,1105.0,M4,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0
